company_name,scheme,award_date,project_summary,url,website,city
Dreambot Pvt Ltd,BIRAC BIG 23,2024-01-23,"BIRAC Biotechnology Ignition Grant awardee, category: Agriculture and allied areas.",https://birac.nic.in/webcontent/1706009241_BIG_23_Final_Awardees.pdf,,
Droplets Innovative Incinerators Private Limited,BIRAC BIG 23,2024-01-23,"BIRAC Biotechnology Ignition Grant awardee, category: Industrial Biotechnology, Clean Energy & Environment.",https://birac.nic.in/webcontent/1706009241_BIG_23_Final_Awardees.pdf,,
Easescan Medtech Private Limited,BIRAC BIG 23,2024-01-23,"BIRAC Biotechnology Ignition Grant awardee, category: Medical Devices.",https://birac.nic.in/webcontent/1706009241_BIG_23_Final_Awardees.pdf,,
Exquinz Life Sciences Private Limited,BIRAC BIG 23,2024-01-23,"BIRAC Biotechnology Ignition Grant awardee, category: Drugs and related areas.",https://birac.nic.in/webcontent/1706009241_BIG_23_Final_Awardees.pdf,,
FOOTRYX Healthcare Private Limited,BIRAC BIG 23,2024-01-23,"BIRAC Biotechnology Ignition Grant awardee, category: Medical Devices.",https://birac.nic.in/webcontent/1706009241_BIG_23_Final_Awardees.pdf,,
ImmunitasBio Private Limited,BIRAC BIG 23,2024-01-23,"BIRAC Biotechnology Ignition Grant awardee, category: Diagnostics.",https://birac.nic.in/webcontent/1706009241_BIG_23_Final_Awardees.pdf,,
Inte-Elabs Private Limited,BIRAC BIG 23,2024-01-23,"BIRAC Biotechnology Ignition Grant awardee, category: Drugs and related areas.",https://birac.nic.in/webcontent/1706009241_BIG_23_Final_Awardees.pdf,,
Marche Healthcare Private Limited,BIRAC BIG 23,2024-01-23,"BIRAC Biotechnology Ignition Grant awardee, category: Medical Devices.",https://birac.nic.in/webcontent/1706009241_BIG_23_Final_Awardees.pdf,,
Prodent Institute Of Dentistry LLP,BIRAC BIG 23,2024-01-23,"BIRAC Biotechnology Ignition Grant awardee, category: Drugs and related areas.",https://birac.nic.in/webcontent/1706009241_BIG_23_Final_Awardees.pdf,,
Satavic Innovations Pvt. Ltd.,BIRAC BIG 23,2024-01-23,"BIRAC Biotechnology Ignition Grant awardee, category: Drugs and related areas.",https://birac.nic.in/webcontent/1706009241_BIG_23_Final_Awardees.pdf,,
Taurmed Technologies Private Limited,BIRAC BIG 23,2024-01-23,"BIRAC Biotechnology Ignition Grant awardee, category: Diagnostics.",https://birac.nic.in/webcontent/1706009241_BIG_23_Final_Awardees.pdf,,
Tvaster Genkalp Private Limited,BIRAC BIG 23,2024-01-23,"BIRAC Biotechnology Ignition Grant awardee, category: Diagnostics.",https://birac.nic.in/webcontent/1706009241_BIG_23_Final_Awardees.pdf,,
Unicas Biotech Pvt Ltd,BIRAC BIG 23,2024-01-23,"BIRAC Biotechnology Ignition Grant awardee, category: Drugs and related areas.",https://birac.nic.in/webcontent/1706009241_BIG_23_Final_Awardees.pdf,,
Vaxigen International Research Centre Private Limited,BIRAC BIG 23,2024-01-23,"BIRAC Biotechnology Ignition Grant awardee, category: Drugs and related areas.",https://birac.nic.in/webcontent/1706009241_BIG_23_Final_Awardees.pdf,,
YRR Edutech Private Limited,BIRAC BIG 23,2024-01-23,"BIRAC Biotechnology Ignition Grant awardee, category: Medical Devices.",https://birac.nic.in/webcontent/1706009241_BIG_23_Final_Awardees.pdf,,
ZeroEarth Private Limited,BIRAC BIG 23,2024-01-23,"BIRAC Biotechnology Ignition Grant awardee, category: Agriculture and allied areas.",https://birac.nic.in/webcontent/1706009241_BIG_23_Final_Awardees.pdf,,
Accelerd Sciences Private Limited,BIRAC BIG 24,2025-10-06,"BIRAC Biotechnology Ignition Grant awardee, category: Medical Devices and Diagnostics.",https://birac.nic.in/webcontent/1759752792_big_24_awardees.pdf,,
Agam Agritech LLP,BIRAC BIG 24,2025-10-06,"BIRAC Biotechnology Ignition Grant awardee, category: Agriculture and allied areas.",https://birac.nic.in/webcontent/1759752792_big_24_awardees.pdf,,
Ajithaprodrug India Private Limited,BIRAC BIG 24,2025-10-06,"BIRAC Biotechnology Ignition Grant awardee, category: Drugs and related areas.",https://birac.nic.in/webcontent/1759752792_big_24_awardees.pdf,,
Akshaisarathi Health Care Solutions Private Limited,BIRAC BIG 24,2025-10-06,"BIRAC Biotechnology Ignition Grant awardee, category: Drugs and related areas.",https://birac.nic.in/webcontent/1759752792_big_24_awardees.pdf,,
Atma Leather Private Limited,BIRAC BIG 24,2025-10-06,"BIRAC Biotechnology Ignition Grant awardee, category: Industrial Biotechnology, Clean Energy & Environment.",https://birac.nic.in/webcontent/1759752792_big_24_awardees.pdf,,
Biolockey Healthworks Pvt. Ltd,BIRAC BIG 24,2025-10-06,"BIRAC Biotechnology Ignition Grant awardee, category: Medical Devices and Diagnostics.",https://birac.nic.in/webcontent/1759752792_big_24_awardees.pdf,,
Bionano Integra Healthcare OPC Private Limited,BIRAC BIG 24,2025-10-06,"BIRAC Biotechnology Ignition Grant awardee, category: Drugs and related areas.",https://birac.nic.in/webcontent/1759752792_big_24_awardees.pdf,,
Bioprobe Lab Private Limited,BIRAC BIG 24,2025-10-06,"BIRAC Biotechnology Ignition Grant awardee, category: Agriculture and allied areas.",https://birac.nic.in/webcontent/1759752792_big_24_awardees.pdf,,
Chemgreen Innovations Private Limited,BIRAC BIG 24,2025-10-06,"BIRAC Biotechnology Ignition Grant awardee, category: Agriculture and allied areas.",https://birac.nic.in/webcontent/1759752792_big_24_awardees.pdf,,
Cology Biosciences Private Limited,BIRAC BIG 24,2025-10-06,"BIRAC Biotechnology Ignition Grant awardee, category: Drugs and related areas.",https://birac.nic.in/webcontent/1759752792_big_24_awardees.pdf,,
CrisprBits Private Limited,BIRAC BIG 24,2025-10-06,"BIRAC Biotechnology Ignition Grant awardee, category: Medical Devices and Diagnostics.",https://birac.nic.in/webcontent/1759752792_big_24_awardees.pdf,,
Curexel Technologies Private Limited,BIRAC BIG 24,2025-10-06,"BIRAC Biotechnology Ignition Grant awardee, category: Medical Devices and Diagnostics.",https://birac.nic.in/webcontent/1759752792_big_24_awardees.pdf,,
Dhi Sathi Robotics Private Limited,BIRAC BIG 24,2025-10-06,"BIRAC Biotechnology Ignition Grant awardee, category: Agriculture and allied areas.",https://birac.nic.in/webcontent/1759752792_big_24_awardees.pdf,,
Diagopreutic Private limited,BIRAC BIG 24,2025-10-06,"BIRAC Biotechnology Ignition Grant awardee, category: Medical Devices and Diagnostics.",https://birac.nic.in/webcontent/1759752792_big_24_awardees.pdf,,
ForschmedX Private Limited,BIRAC BIG 24,2025-10-06,"BIRAC Biotechnology Ignition Grant awardee, category: Medical Devices and Diagnostics.",https://birac.nic.in/webcontent/1759752792_big_24_awardees.pdf,,
Galanto Innovations Pvt Ltd,BIRAC BIG 24,2025-10-06,"BIRAC Biotechnology Ignition Grant awardee, category: Medical Devices and Diagnostics.",https://birac.nic.in/webcontent/1759752792_big_24_awardees.pdf,,
Genoscope Private Limited,BIRAC BIG 24,2025-10-06,"BIRAC Biotechnology Ignition Grant awardee, category: Medical Devices and Diagnostics.",https://birac.nic.in/webcontent/1759752792_big_24_awardees.pdf,,
Greenathon Technologies Private Limited,BIRAC BIG 24,2025-10-06,"BIRAC Biotechnology Ignition Grant awardee, category: Industrial Biotechnology, Clean Energy & Environment.",https://birac.nic.in/webcontent/1759752792_big_24_awardees.pdf,,
ImmunitoAI Private Limited,BIRAC BIG 24,2025-10-06,"BIRAC Biotechnology Ignition Grant awardee, category: Drugs and related areas.",https://birac.nic.in/webcontent/1759752792_big_24_awardees.pdf,,
Inav Agrp Mech Private Limited,BIRAC BIG 24,2025-10-06,"BIRAC Biotechnology Ignition Grant awardee, category: Agriculture and allied areas.",https://birac.nic.in/webcontent/1759752792_big_24_awardees.pdf,,
Jnps Oxyjoy Private Limited,BIRAC BIG 24,2025-10-06,"BIRAC Biotechnology Ignition Grant awardee, category: Agriculture and allied areas.",https://birac.nic.in/webcontent/1759752792_big_24_awardees.pdf,,
Kamireddy Agro Foods Private Limited,BIRAC BIG 24,2025-10-06,"BIRAC Biotechnology Ignition Grant awardee, category: Agriculture and allied areas.",https://birac.nic.in/webcontent/1759752792_big_24_awardees.pdf,,
Neo Avishkars Private Limited,BIRAC BIG 24,2025-10-06,"BIRAC Biotechnology Ignition Grant awardee, category: Medical Devices and Diagnostics.",https://birac.nic.in/webcontent/1759752792_big_24_awardees.pdf,,
Nilico Green Technologies Private Limited,BIRAC BIG 24,2025-10-06,"BIRAC Biotechnology Ignition Grant awardee, category: Industrial Biotechnology, Clean Energy & Environment.",https://birac.nic.in/webcontent/1759752792_big_24_awardees.pdf,,
Papyrus Diagnostics Private Limited,BIRAC BIG 24,2025-10-06,"BIRAC Biotechnology Ignition Grant awardee, category: Medical Devices and Diagnostics.",https://birac.nic.in/webcontent/1759752792_big_24_awardees.pdf,,
Proxi Farma Private Limited,BIRAC BIG 24,2025-10-06,"BIRAC Biotechnology Ignition Grant awardee, category: Agriculture and allied areas.",https://birac.nic.in/webcontent/1759752792_big_24_awardees.pdf,,
Samaritan AI Private Limited,BIRAC BIG 24,2025-10-06,"BIRAC Biotechnology Ignition Grant awardee, category: Medical Devices and Diagnostics.",https://birac.nic.in/webcontent/1759752792_big_24_awardees.pdf,,
